en	lin
All events are produced by one another, I admit; if the past gave birth to the present, the present gives birth to the future.	Eyenga nyoso  ekosalema na moko koleka misusu, na ndimi ; soki lobi epesiki  mokonzi,  mokonzi akopesa  lobi.
Suddenly I noticed that my watch had disappeared.	Mbalamoko namonaki ete montele nangai ebungaki.
I have a feeling that you will be a very good lawyer.	Naza na liyanga ete okozala molobeli malamu.
Robin is Batman's friend.	Robin aza moninga ya B atman.
You think we didn't understand anything? You're wrong, we understood you very well.	Bokanisi ete toyokaki eloko te? Bomikosi, toyokaki malamu.
Why ever hesitate about our duty, when it can be recognized right away by this sign: duty is what annoys us.	Ponanini kotatabana te na bosengisi nabiso, tango amiyebi mbalamoko na bilembo : bosengi nde ezo tungisa biso.
You must apologize to him when you see him.	Ebongi kosenga ye mbolibisi tango okomona ye.
Thieves respect property. They only want the property to become their own property so they can respect it more perfectly.	Miyibi batosaka mosolo. Balingi kaka ete mosolo wana  ezala mosolo nabango mpo ete ba tosa yango mpeza te.
You can say whatever you want, I don't understand a damn thing about it.	Bokoki koloba nyoso oyo bolingi, nazoyoka te.
Hurry up! Otherwise I won't be able to take you to school.	Sala mbangu! Soki te nakomema yo na kelasi te.
As the windows no longer had a single pane of glass, he had decided to board them up by nailing planks over them: it wasn't easy to see, but it was warm.	Lokola lininisa ezalaki kaka na kitalatala moko, bakanisaki kokanga yango na mabaya : tozalaki komona  tempeza te, kasi mulunge ezalaki.
You must teach me what you know.	Okoki kotangisa ngai oyo oyebi.
With the development of networks, an enormous and unprecedented quantity of messages flies around the planet.	Na bobongisi ya rezo, bebo ya mikanda  ezo pimbwa nzinganzinga na mokili.
If we are to judge the future of ocean research by its past, we can certainly expect many exciting discoveries.	Soki tolingi kolobela lobi ya kelasi ya mai minene koleka lobi nayango,  tokoki mpe kozela  ebele ya bokondoli ya bomoi.
He was so tired that he had to take a nap before going back to his work.	Azalaki ya kolemba makasi te a ibaki mbongo liboso abandela musala.
Why is it so difficult to establish that the nerve cell is the basic unit of nervous tissue?	Mpo nanini eza mpasi kosala ete misisa ya nzote ezala moko ya mutuya ya mposo  ya  nzoto?
She refused to play with the thing, simply sat down, and seemed angry.	Aboyaki kosakana na eloko, avandi  naye kaka mpe asalaki yako silika.
The Sphinx had eaten hundreds of people on their way to the city of Thebes, because they could not answer the clever riddle the Sphinx asked them.	Sphnix aliaki  kama ya bato na nzela mpo na engumba ya Thèbes, mpo ba kokaki te koyanola  na mituna  ya makasi oyo Sphinx asengaki.
Shut up. Otherwise, you'll be fired.	Bokanga-ye. Soki te, bokolokwa musala.
Do you think she feels comfortable in her new apartment?	Okanisi ete akosala malamu na ndako naye ya sika?
OK, I give up.	Ok, na tiki.
Raise your hand and ask permission if you need to leave the classroom.	Tombola lisapi mpe senga nzela soki oza na posa ya kobima na kelasi.
Nora's parents own seventy percent of the bank.	Baboti ya Nora  baza na ntuku nsambo ya mbongo ya banki.
I'm happy that you liked it.	Naza na esengo ndenge  olingaki ye.
To be an interesting person, you must nourish and train your mind.	Mpo ozala moto ya motuya, esengeli oleisa mpe kobenda molimo nayo.
She came to cause trouble.	Ayaki mpo asala mobulu.
Before leaving, don't forget to have your supervisor fill out your internship evaluation form.	Loboso ya kokende, kobosana te kotondisa koleka moboti mukanda  mwa malakisi ya koyekola musala.
Louis is more like an alchemist than a magician.	Louis a kokani mingi na moyebi siansi  koleka nganga.
She had her hair cut because she liked shorter hair, not because she had lost her love.	Amikatisaki suki mpo alingaka suki ya mokuse, te mpo abungisaki mobali naye.
The king hopes and believes that the love his people currently show him will last forever.	Mokonzi atie elikia mpe ko ndima ete litatola sikoyo ya batu eko wumela seko.
No religious, historical, political, moral, legal, or security argument could justify the conditions of extreme humiliation and collective punishment to which Palestinians are subjected in their own country.	Ata litatoli ya bokristo, masolo yakala, politiki, molale, juridiki, to bokengi ekoki te ko talisa soki  bokitisi ya suka mpe ya etumbu  ya bosangani naoyo ya botosi yaba Palestiniens nakati ya mboka nabanga moko.
Dan couldn't believe that Linda could do something so stupid.	Dan azokoka te kondima  ete Linda akoki kosala likambo moko mpe  ya buzoba.
At the start of the meeting, a greeting message from the president was read.	Na ebandeli ya kokutana, totangaki  sango  ya bosesi ya tata mokonzi
It has happened before and it will probably happen again.	Esalemaka kala mpe ekoki  salema lisusu.
I'm sorry, I dialed the wrong number.	Bolimbisi, namikosaki  numero.
I wish you had called beforehand.	Nalingaki ete obenga nanu.
You'd be better off buying a new one rather than trying to fix it.	Ekozala malamu osomba ya sika naesika omeka kombongisa yango.
She spent the last years of her life with a hidden sorrow.	Alekisaki mobu mileki ya bomoi naye na mawa ya ko bombana.
The ugly little duckling turned into a magnificent swan.	Somo  libata ya muke ebongwani  Cygne ya malamu.
The space cargo ship exploded a few seconds after launch.	Cargo spatial epezanaki ba segondi eleki sima ya kobibwa.
Hey ho! Is anyone there?	He Ho! Mutu azali?
Hey, guys! What's new?	He, bilenge! Nini ya sika?
Anna Freud had a profound influence on Hollywood.	Anna Freud  azui libemba makasi na Hollywood.
She spent hours at the gym trying to lose weight.	Alekisaki   ba ngonga na ndako ya gym komeka bungisa kilos.
Have you read the article about Asia in Time?	 Omekaki kotanga article ya Asie na ngonga?
I confess to almighty God and to you, my brothers and sisters, that I have greatly sinned in thought, in word, in what I have done and in what I have failed to do: through my fault, through my fault, through my most grievous fault.	Nasengi bolibisi epa ya nzambe  monene mpe na bino  mandeko-mibali mpe bandeko-basi, ete na sumukaki makasi nakokanisa, na maloba, na bizaleli mpe  na ko lekisa : eza mabe nagai, eza mabe nagai, eza mabe nagai ya monene.
I cannot stand your indifference. If you leave me, I will die.	Nazo koka kara nayo te. Soki otiki ngai, na kufi.
This sentence, taken out of context, is not very interesting.	Falaze oyo esali  libanda  ya likambo  ezo lakisa mpeza ntina te.
The rescuers scanned the area, searching for the child.	Basalisi bazo manyola esika, mpo koluka mwana.
You surely think that women are, above all, pretty and thin, and that for everything else they'd better keep quiet.	Okani mpeza mpo ete  basi baza nanu kitoko mpe mike, ete mpo  na oyo etikali  ekosala malamu kokanga.
The day we can teleport, I know a few bathrooms that are going to be crowded.	Mukolo oyo tokoki ko bengana, nayebi bisika  ya esekolelo esika batu bazalaka ebelé.
It is imperative to give this ship special treatment so that it can get past the obstacles of bureaucracy and leave port on time.	Eza ya motuya sala  libongisi ya monene na masuwa oyo mpo eleka  mabaku ya makabo ya buro mpe ebima na libongo na tango.
When I was a teenager, my parents never let me go out with boys, so I was always sad.	Tango nazalaki elenge, baboti nangai bazalaki kotika ngai te na bima  na bana-mibali, yango nazalaki kaka ya mawa.
I often remember my happy childhood.	Nakanisaka tango nyoso na bomwana nangai ya esengo.
When people talk to me about the weather, I always have the strong impression that they want to tell me something else. This terrifies me.	Tango batu balobelaka ngai mpo na tango basalaka, nakanisa  kaka ete balingi ba yebisa ngai eleko mosusu. Oyo ezo tungisa ngai  makasi.
You need to find my turkey for me or pay me for it. Go look for it around here, it can't be far.	esengeli  ozwa dinde nangai soki te ofuta ngai. Kende koluka ye singasinga, akoki kozala mosika te.
Anza, these are the moans that some people hear at night, in houses where people are said to have had their throats cut or to have suffered a violent death.	Anza, eza kolela ya batu musus bazoyoka na butu, na ba ndako esika batu   bakufa to yaba oyo bazwaki liwa ya pasi.
We ambushed several hundred of their new J-37 robots behind enemy lines in a staging area, and we destroyed them all by sending a flock of sheep loaded with explosives through their camp.	Totiyaki mitambo ebele na mikama ya ba robo J-37 nabango ya sika  sima  ya milongo ya binemi na esika ya bosangani mpe tobebisaki  bango nyoso na kotinda  etonga   ya meme kotonda na ba explosifs nakati  kambi nabango.
Wait a minute!	Zela miniti moko!
Stop annoying me. I'm busy.	Botika ko silikisa ngai. Naza kipe.
At no time did we make your email address available to another user without your permission.	Ata tango moko te tosalaki  adresi nayo eletronike  polele na mosaleli mosusu  na bosenga nzela nayo te.
Do your duty, and let the gods do the rest.	Bo sala bisengisi nabino, mpe bo tika bi zambi ba sala.
They will make him change his ways (they will make him change how he walks).	 Ba kobongolisa ye  etambuisi (ba kobongolisa ye kotambola).
On the phone: "Well, my dear, what are you doing?"	Na njombo  : « Eh malamu,  bolingo nangai, ozo zala nini? »
The bullet went into his chest, leaving him in critical condition.	Bale ekoyingela ye na tolo , ekotika ye na état ya mabe.
And here I am meddling in everything! They'll immediately tell me: eat your snack and shut up. But there's no question of bread here! Just glory.	Sikoyo ngai namikotisi na makambu nyoso Bakoyebisa  ngai nyoso  sikoyo : lia bileyi nayo mpe fanda kimia. Kasi, eza lituna ya lipa te, awa! Kaka, ya lokumu.
Now the mind map is ready. Think now about how you can put them together in a certain order. Number them and enter them into the computer according to the order you found.	Tala sikoyo bokokisi yandakisa ya mayele. Kanisa sikoyo na ndange nini okoki ko  sangisa bango  nakati ya mitindo moko. Tia ba chiffre mpe koma yango nakati ya odinatele nakolanda  mitindo ukutaki.
Yes, this is Anthony.	boye, eza Anthony.
Hey, I got you a beer.	Hey, nasweli yo masanga.
I don't know any other way to do it.	Nayebi ndenge mosusu te ya kosala.
To close the dialog box, you must click the X at the top right of the window.	Mpo na kokanga saduku ya masolo esengeli bofina na X likolo ya loboko ya mobali  ya  lininisa.
The less intelligent the white man is, the more stupid the black man seems to him.	Mindele mike baza mayele, ba mwindo ebele ba basoba.
Cosmetic surgery is not covered by most insurance policies.	Bobongisi  ya poso ezwamaka  penza te na ndakisa   ya  kontra  ya assurance.
As Lincoln said to a nation far more divided than ours, we are not enemies but friends. Though passion may have strained them, it must not break the bonds of our affection.	Ndenge  Linconln lobaki na mboka moko ya kokabwana koleka ya biso, toza binemi te kasi baninga. Lokola  mawa ekomelaki bango, ekoki kobebisa te  bosangini ya bolingo nabiso.
You should have learned to swim when you were young.	 Esengelaki  boyekola kobeta mai tango bosalaki bilenge.
He's an old high school friend.	Asa moninga ya kala ya kelasi.
You're really a great guy.	Osa mobali moko malamu mpesa.
Good evening, the party is great, don't you think?	Mbote, bokotani oyo eza malamu,boyebi yango
In the following image, we see an aerial photo of the company's headquarters.	Nakati ya elilingi elandi , tomoni cliché likolo ya esika monene ya lingomba.
I would never have believed he could do something so horrible.	Nakokaki kondima te  ete akokaki  kosala eloko ya mabe boye.
Why can't we manage to send emails to your mailbox, that's odd.	 Pona nini tozo koka te ko tinda ba mail na sanduku ya  mikanda nayo,  eza mistik.
Do not throw any objects out the window.	Bobwaka eloko moko te na lininisa.
A killer robot is an autonomous weapon that can select and attack targets without human intervention.	Robo moko ya koboma eza mondoki yaye moko, nani akoki kopona mpe ko landela nsuka nabosangi ya lisungi ya moto.
A bottle of shampoo costs as much as a tube of toothpaste.	Molangi ya shampooing eza talo koleka  kisi ya minu.
On your marks, get set, go!	Na bilembo, kotala, kende!
She shouted for him to come back, yet he did not stop, nor look back, but ran away.	Abeleli ye azonga, atelemi kaka te, mpe atali na sima te,kasi a kimi.
My heart cannot bring itself to forget you.	Motema nangai ezo ndima te kobosana yo.
I'll be right back.	Nazoya kaka sikoyo.
The average rent for an apartment in Manhattan is about $4,000 per month.	kofutela  ndako moko na Manathattan eza nakati ya 4000 $na nsansa.
